season,n_matches,model_pick,model_logloss,model_rps,model_acc,odds_logloss,odds_rps,odds_acc
2018-19,362,LogReg,0.9256,0.1958,0.5829,0.8942,0.1881,0.5884
2019-20,374,RF,1.017,0.2104,0.5187,0.9679,0.1974,0.5348
2020-21,374,GB,1.0086,0.2177,0.516,1.0074,0.2136,0.516
2021-22,374,LogReg,0.9618,0.1976,0.5749,0.9303,0.1877,0.5856
2022-23,374,LogReg,0.9822,0.2024,0.5374,0.9675,0.1991,0.5615
2023-24,374,LogReg,0.936,0.1902,0.5856,0.9129,0.1849,0.5856
2024-25,374,LogReg,0.9874,0.2026,0.5401,0.97,0.1985,0.5455
2025-26,380,LogReg,1.0283,0.2092,0.4789,1.0185,0.2057,0.4895
